record,year,How often wear bicycle helmet,Ever text while driving in past 30 days,Ever smoked,How old when first smoked,How many days smoked in past 30 days,How many cigarettes/day in past 30 days,Ever been bullied
118304,1993,Most of the time wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
330531,1999,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
184901,1995,Never wore a helmet,NA,Yes,15 or 16 years old,0 days,Did not smoke cigarettes,NA
924805,2009,Always wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
406376,2001,Always wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
334058,1999,Rarely wore a helmet,NA,Yes,13 or 14 years old,20 to 29 days,11 to 20 cigarettes,NA
1105141,2011,Never wore a helmet,NA,Yes,15 or 16 years old,1 or 2 days,Less than 1 cigarette,FALSE
511931,2003,Rarely wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
112646,1993,Did not ride a bicycle,NA,Yes,11 or 12 years old,1 or 2 days,1 cigarette,NA
334254,1999,NA,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,NA
1306945,2013,Rarely wore a helmet,I did not drive the past 30 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
1316553,2013,NA,I did not drive the past 30 days,Yes,13 or 14 years old,All 30 days,2 to 5 cigarettes,FALSE
182234,1995,Did not ride a bicycle,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
403472,2001,Rarely wore a helmet,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,NA
767049,2007,Did not ride a bicycle,NA,Yes,17 years old or older,1 or 2 days,2 to 5 cigarettes,NA
629712,2005,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
761457,2007,Always wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1103639,2011,Did not ride a bicycle,NA,Yes,8 years old or younger,0 days,Did not smoke cigarettes,FALSE
929429,2009,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
764118,2007,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
41974,1991,Never wore a helmet,NA,Yes,15 or 16 years old,10 to 19 days,1 cigarette,NA
1108570,2011,Always wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
636139,2005,Never wore a helmet,NA,Yes,13 or 14 years old,NA,NA,NA
259533,1997,Sometimes wore a helmet,NA,Yes,9 or 10 years old,All 30 days,2 to 5 cigarettes,NA
935539,2009,Did not ride a bicycle,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,FALSE
268876,1997,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
504287,2003,Did not ride a bicycle,NA,Yes,13 or 14 years old,All 30 days,6 to 10 cigarettes,NA
396214,2001,Did not ride a bicycle,NA,Yes,NA,0 days,Did not smoke cigarettes,NA
500140,2003,Rarely wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
116271,1993,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1314467,2013,Did not ride a bicycle,I did not drive the past 30 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
922448,2009,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,TRUE
509120,2003,Most of the time wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
266068,1997,NA,NA,Yes,11 or 12 years old,20 to 29 days,11 to 20 cigarettes,NA
632328,2005,Never wore a helmet,NA,NA,11 or 12 years old,20 to 29 days,NA,NA
1316431,2013,Rarely wore a helmet,All 30 days,Yes,15 or 16 years old,NA,NA,FALSE
633491,2005,Never wore a helmet,NA,Yes,9 or 10 years old,NA,NA,NA
399811,2001,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1305758,2013,Did not ride a bicycle,0 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
929824,2009,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,TRUE
1105197,2011,Never wore a helmet,NA,Yes,11 or 12 years old,0 days,Did not smoke cigarettes,FALSE
404150,2001,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
398683,2001,Never wore a helmet,NA,Yes,15 or 16 years old,20 to 29 days,2 to 5 cigarettes,NA
39640,1991,Never wore a helmet,NA,Yes,11 or 12 years old,0 days,Did not smoke cigarettes,NA
407401,2001,Did not ride a bicycle,NA,Yes,15 or 16 years old,0 days,Did not smoke cigarettes,NA
262292,1997,Never wore a helmet,NA,Yes,11 or 12 years old,All 30 days,11 to 20 cigarettes,NA
408814,2001,Did not ride a bicycle,NA,Yes,17 years old or older,All 30 days,2 to 5 cigarettes,NA
258365,1997,Sometimes wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
933054,2009,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
769098,2007,Did not ride a bicycle,NA,Yes,11 or 12 years old,0 days,Did not smoke cigarettes,NA
635122,2005,Did not ride a bicycle,NA,NA,NA,NA,NA,NA
932006,2009,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
767048,2007,Never wore a helmet,NA,Yes,13 or 14 years old,1 or 2 days,Less than 1 cigarette,NA
1094791,2011,Never wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,TRUE
501981,2003,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
764347,2007,Sometimes wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1095848,2011,Never wore a helmet,NA,Yes,13 or 14 years old,20 to 29 days,2 to 5 cigarettes,TRUE
107863,1993,Never wore a helmet,NA,Yes,8 years old or younger,All 30 days,6 to 10 cigarettes,NA
1303798,2013,Never wore a helmet,I did not drive the past 30 days,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
182654,1995,Did not ride a bicycle,NA,Yes,9 or 10 years old,All 30 days,More than 20 cigarettes,NA
190524,1995,NA,NA,Yes,17 years old or older,1 or 2 days,Less than 1 cigarette,NA
641057,2005,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
122897,1993,Never wore a helmet,NA,NA,NA,0 days,Did not smoke cigarettes,NA
1104516,2011,NA,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
40155,1991,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
931987,2009,Never wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
500988,2003,Did not ride a bicycle,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,NA
641872,2005,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
928954,2009,Never wore a helmet,NA,Yes,11 or 12 years old,0 days,Did not smoke cigarettes,FALSE
401219,2001,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
37540,1991,Never wore a helmet,NA,Yes,9 or 10 years old,0 days,Did not smoke cigarettes,NA
926528,2009,NA,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
400545,2001,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
182230,1995,Never wore a helmet,NA,Yes,11 or 12 years old,1 or 2 days,2 to 5 cigarettes,NA
637677,2005,Rarely wore a helmet,NA,NA,Never smoked a cigarette,0 days,NA,NA
927135,2009,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
36103,1991,Never wore a helmet,NA,NA,NA,NA,NA,NA
768155,2007,NA,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
509747,2003,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
405224,2001,Did not ride a bicycle,NA,Yes,15 or 16 years old,0 days,Did not smoke cigarettes,NA
185838,1995,Never wore a helmet,NA,No,NA,0 days,Did not smoke cigarettes,NA
769986,2007,Never wore a helmet,NA,Yes,8 years old or younger,0 days,Did not smoke cigarettes,NA
118753,1993,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
264616,1997,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1313680,2013,Never wore a helmet,I did not drive the past 30 days,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
1108919,2011,Sometimes wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
931608,2009,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
187092,1995,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
38202,1991,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
185913,1995,Did not ride a bicycle,NA,Yes,11 or 12 years old,All 30 days,6 to 10 cigarettes,NA
32308,1991,Never wore a helmet,NA,Yes,13 or 14 years old,6 to 9 days,2 to 5 cigarettes,NA
633544,2005,Did not ride a bicycle,NA,Yes,9 or 10 years old,3 to 5 days,Less than 1 cigarette,NA
634322,2005,Did not ride a bicycle,NA,Yes,15 or 16 years old,10 to 19 days,2 to 5 cigarettes,NA
329139,1999,Never wore a helmet,NA,Yes,13 or 14 years old,NA,NA,NA
501811,2003,Always wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
764682,2007,Did not ride a bicycle,NA,Yes,15 or 16 years old,0 days,Did not smoke cigarettes,NA
630947,2005,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
329999,1999,Did not ride a bicycle,NA,Yes,11 or 12 years old,0 days,Did not smoke cigarettes,NA
189460,1995,Did not ride a bicycle,NA,Yes,13 or 14 years old,10 to 19 days,6 to 10 cigarettes,NA
324466,1999,Did not ride a bicycle,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1306906,2013,Sometimes wore a helmet,0 days,Yes,13 or 14 years old,1 or 2 days,1 cigarette,FALSE
404642,2001,Rarely wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1107867,2011,Sometimes wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
499897,2003,Sometimes wore a helmet,NA,Yes,11 or 12 years old,0 days,Did not smoke cigarettes,NA
184934,1995,Never wore a helmet,NA,Yes,9 or 10 years old,0 days,Did not smoke cigarettes,NA
328779,1999,Sometimes wore a helmet,NA,Yes,11 or 12 years old,0 days,Did not smoke cigarettes,NA
766401,2007,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
768467,2007,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
403118,2001,Did not ride a bicycle,NA,Yes,9 or 10 years old,All 30 days,11 to 20 cigarettes,NA
1098641,2011,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,NA,FALSE
925823,2009,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
1106982,2011,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
31982,1991,Did not ride a bicycle,NA,Yes,11 or 12 years old,1 or 2 days,1 cigarette,NA
514203,2003,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
39040,1991,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
634159,2005,Never wore a helmet,NA,Yes,8 years old or younger,0 days,Did not smoke cigarettes,NA
407504,2001,Did not ride a bicycle,NA,Yes,11 or 12 years old,0 days,Did not smoke cigarettes,NA
189092,1995,Sometimes wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
263879,1997,Did not ride a bicycle,NA,Yes,11 or 12 years old,0 days,Did not smoke cigarettes,NA
186452,1995,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
37557,1991,Did not ride a bicycle,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
39397,1991,NA,NA,Yes,11 or 12 years old,0 days,Did not smoke cigarettes,NA
37401,1991,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
641842,2005,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
933041,2009,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,TRUE
640134,2005,Did not ride a bicycle,NA,Yes,11 or 12 years old,6 to 9 days,2 to 5 cigarettes,NA
325759,1999,Never wore a helmet,NA,Yes,17 years old or older,10 to 19 days,Less than 1 cigarette,NA
30792,1991,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
396875,2001,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1101905,2011,Always wore a helmet,NA,NA,13 or 14 years old,6 to 9 days,NA,FALSE
116829,1993,Rarely wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
336716,1999,Did not ride a bicycle,NA,Yes,9 or 10 years old,0 days,Did not smoke cigarettes,NA
266475,1997,Did not ride a bicycle,NA,Yes,9 or 10 years old,All 30 days,6 to 10 cigarettes,NA
767591,2007,Did not ride a bicycle,NA,Yes,13 or 14 years old,NA,NA,NA
761627,2007,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
108866,1993,NA,NA,Yes,8 years old or younger,0 days,Did not smoke cigarettes,NA
933611,2009,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,TRUE
770562,2007,Never wore a helmet,NA,Yes,15 or 16 years old,0 days,Did not smoke cigarettes,NA
762992,2007,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
764186,2007,Always wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
116695,1993,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
122118,1993,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
635732,2005,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
335653,1999,Never wore a helmet,NA,Yes,15 or 16 years old,0 days,Did not smoke cigarettes,NA
120223,1993,Did not ride a bicycle,NA,Yes,9 or 10 years old,All 30 days,11 to 20 cigarettes,NA
30642,1991,NA,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
929272,2009,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
502438,2003,Did not ride a bicycle,NA,Yes,11 or 12 years old,10 to 19 days,Less than 1 cigarette,NA
932908,2009,NA,NA,Yes,9 or 10 years old,0 days,Did not smoke cigarettes,NA
1099401,2011,Never wore a helmet,NA,Yes,15 or 16 years old,0 days,Did not smoke cigarettes,FALSE
409081,2001,Never wore a helmet,NA,Yes,15 or 16 years old,0 days,Did not smoke cigarettes,NA
932027,2009,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,TRUE
634242,2005,Never wore a helmet,NA,Yes,8 years old or younger,20 to 29 days,6 to 10 cigarettes,NA
1100406,2011,Never wore a helmet,NA,Yes,13 or 14 years old,10 to 19 days,2 to 5 cigarettes,TRUE
1314551,2013,Never wore a helmet,20 to 29 days,Yes,15 or 16 years old,0 days,Did not smoke cigarettes,FALSE
1102590,2011,Never wore a helmet,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,TRUE
512173,2003,Did not ride a bicycle,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,NA
323319,1999,Did not ride a bicycle,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,NA
762468,2007,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
113183,1993,NA,NA,Yes,9 or 10 years old,All 30 days,2 to 5 cigarettes,NA
930897,2009,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
634991,2005,Never wore a helmet,NA,Yes,11 or 12 years old,NA,NA,NA
935654,2009,Did not ride a bicycle,NA,Yes,13 or 14 years old,1 or 2 days,Less than 1 cigarette,TRUE
266992,1997,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
924711,2009,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
923446,2009,Never wore a helmet,NA,Yes,15 or 16 years old,3 to 5 days,1 cigarette,FALSE
186604,1995,Never wore a helmet,NA,Yes,13 or 14 years old,20 to 29 days,2 to 5 cigarettes,NA
36056,1991,Never wore a helmet,NA,Yes,17 years old or older,NA,NA,NA
256392,1997,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
190217,1995,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
258932,1997,Did not ride a bicycle,NA,Yes,9 or 10 years old,3 to 5 days,1 cigarette,NA
937616,2009,Never wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
769788,2007,Rarely wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
323765,1999,Never wore a helmet,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,NA
400103,2001,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
407540,2001,Rarely wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
111174,1993,Rarely wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1306887,2013,Never wore a helmet,0 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
403496,2001,Sometimes wore a helmet,NA,Yes,11 or 12 years old,0 days,Did not smoke cigarettes,NA
258142,1997,Never wore a helmet,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,NA
631396,2005,Rarely wore a helmet,NA,Yes,11 or 12 years old,10 to 19 days,2 to 5 cigarettes,NA
1098472,2011,Did not ride a bicycle,NA,NA,Never smoked a cigarette,0 days,NA,TRUE
929743,2009,Did not ride a bicycle,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
925374,2009,Never wore a helmet,NA,Yes,13 or 14 years old,3 to 5 days,2 to 5 cigarettes,NA
1308936,2013,Never wore a helmet,3 to 5 days,Yes,8 years old or younger,0 days,Did not smoke cigarettes,FALSE
398186,2001,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
184672,1995,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
405668,2001,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
629113,2005,Rarely wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
118351,1993,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
503773,2003,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
399765,2001,Most of the time wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
403892,2001,Rarely wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
113238,1993,Never wore a helmet,NA,Yes,15 or 16 years old,0 days,Did not smoke cigarettes,NA
267222,1997,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
400306,2001,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
506976,2003,Did not ride a bicycle,NA,Yes,11 or 12 years old,1 or 2 days,Less than 1 cigarette,NA
403823,2001,Did not ride a bicycle,NA,Yes,11 or 12 years old,10 to 19 days,2 to 5 cigarettes,NA
